model,trades,winrate,total_R,max_DD_R,threshold
Baseline_A_2R,145,0.3517241379310344,3.460000000000001,29.114,
Baseline_B_3R,144,0.2638888888888889,3.946000000000005,28.319,
Baseline_C_2R_asiaFilter,4,0.5,1.2000000000000002,1.0,
Baseline_D_2R_retrace,138,0.3768115942028985,15.580000000000004,24.003,
ProposedV2_thr_0.30,1198,0.3622704507512521,94.9229588468582,25.0,0.3
ProposedV2_thr_0.40,1198,0.3622704507512521,94.9229588468582,25.0,0.4
ProposedV2_thr_0.50,1198,0.3622704507512521,94.9229588468582,25.0,0.5
ProposedV2_thr_0.60,1198,0.3622704507512521,94.9229588468582,25.0,0.6
ProposedV2_thr_0.70,1198,0.3622704507512521,94.9229588468582,25.0,0.7
ProposedV2_thr_0.80,1198,0.3622704507512521,94.9229588468582,25.0,0.8
